name	locality	segments
Talgsjövägen	Fegen	3
Trastvägen	Fegen	3
Värnamovägen	Fegen	3
Bergfinksvägen	Fegen	2
Bergsvägen	Fellingsbro	17
Norrvägen	Fellingsbro	9
Hemvägen	Fellingsbro	7
Idrottsvägen	Fellingsbro	7
Kvarngatan	Fellingsbro	7
Mått-Johans väg	Fellingsbro	7
Skulstavägen	Fellingsbro	7
Ängebyvägen	Fellingsbro	7
Hästskovägen	Fellingsbro	6
Kyrkvägen	Fellingsbro	6
Sjövägen	Fengersfors	12
Fengersforsvägen	Fengersfors	11
Hensbyvägen	Fengersfors	10
Fabriksvägen	Fengersfors	8
Ämnebyvägen	Fengersfors	7
Fröskogsvägen	Fengersfors	6
Herdins väg	Fengersfors	5
Knarrbyvägen	Fengersfors	5
Ärrsjövägen	Fengersfors	4
Björkvägen	Fengersfors	3
Hägnadsvägen	Figeholm	13
Fabriksvägen	Figeholm	8
Skepparegatan	Figeholm	8
Allégatan	Figeholm	7
Rävuddegatan	Figeholm	7
Ågatan	Figeholm	7
Långgrundsvägen	Figeholm	6
Marknadsgatan	Figeholm	6
Smedjegatan	Figeholm	6
Truttenvägen	Figeholm	6
Högbergsvägen	Filipstad	32
Spångbergsvägen	Filipstad	15
Järnvägsgatan	Filipstad	13
Blombackavägen	Filipstad	11
Brusgårdsvägen	Filipstad	11
Färnebogatan	Filipstad	11
Pålandsvägen	Filipstad	11
Hertig Karlsgatan	Filipstad	10
John Ericssonsgatan	Filipstad	10
Kärleksvägen	Filipstad	10
Hästskovägen	Finja	11
Prästvägen	Finja	8
Tyringevägen	Finja	8
Dragonvägen	Finja	7
Öraholmavägen	Finja	7
Garnisonsvägen	Finja	6
Herrgårdsvägen	Finja	6
Kungsgårdsvägen	Finja	5
Ola Stjernkvists väg	Finja	5
Saxabäcksvägen	Finja	4
Kronvägen	Finnerödja	6
Tivedsvägen	Finnerödja	6
Dalgatan	Finnerödja	5
Skagersholmsvägen	Finnerödja	4
Kvarndammsvägen	Finnerödja	3
Mjölnaregatan	Finnerödja	3
Sågbrogatan	Finnerödja	3
Tallstigen	Finnerödja	3
Änggatan	Finnerödja	3
Backgatan	Finnerödja	2
Norrköpingsvägen	Finspång	37
Torstorpsvägen	Finspång	25
Bergslagsvägen	Finspång	18
Kapellvägen	Finspång	13
Norra Storängsvägen	Finspång	12
Fäskogsvägen	Finspång	10
Kraftkärrsvägen	Finspång	10
Sjöviksvägen	Finspång	10
Skäggebyvägen	Finspång	10
Linköpingsvägen	Finspång	9
Södra Gruvvägen	Fiskebäckskil	13
Rörbäcksvägen	Fiskebäckskil	12
Kaptensgatan	Fiskebäckskil	8
Fiskebäckskilsvägen	Fiskebäckskil	7
Västra Lingällsvägen	Fiskebäckskil	7
Lahallsvägen	Fiskebäckskil	6
Reparn	Fiskebäckskil	6
Alberts väg	Fiskebäckskil	5
Stockeviksvägen	Fiskebäckskil	5
Tjärkullevägen	Fiskebäckskil	5
Fjugesta letstig	Fjugesta	35
Vallgatan	Fjugesta	19
Bergavägen	Fjugesta	15
Domarringsvägen	Fjugesta	15
Östra Långgatan	Fjugesta	8
Bergsgatan	Fjugesta	7
Västra Långgatan	Fjugesta	7
Bangatan	Fjugesta	6
Hagagatan	Fjugesta	6
Sveagatan	Fjugesta	6
Gamla vägen	Fjälkinge	15
Balsby sjöväg	Fjälkinge	14
Maglestensvägen	Fjälkinge	14
Riddaregatan	Fjälkinge	13
Sölvesborgsvägen	Fjälkinge	12
Peder Billes väg	Fjälkinge	11
Håstadsvägen	Fjälkinge	10
Fjälketorpsvägen	Fjälkinge	9
Kumlevägen	Fjälkinge	9
Snedstigen	Fjälkinge	9
Föreningsgatan	Fjällbacka	13
Sälviksvägen	Fjällbacka	12
Killebäcksvägen	Fjällbacka	11
Dinglevägen	Fjällbacka	9
Halsviksvägen	Fjällbacka	9
Långsjövägen	Fjällbacka	9
Vetteberget	Fjällbacka	9
Bräckevägen	Fjällbacka	8
Floravägen	Fjällbacka	7
Lidenvägen	Fjällbacka	7
Änderstavägen	Fjärdhundra	9
Råbyvägen	Fjärdhundra	6
Stationsvägen	Fjärdhundra	5
Kärstavägen	Fjärdhundra	4
Snickerivägen	Fjärdhundra	4
Albäcksvägen	Fjärdhundra	3
Eklundavägen	Fjärdhundra	3
Fycklingevägen	Fjärdhundra	3
Hovtångsvägen	Fjärdhundra	3
Mellevivägen	Fjärdhundra	3
Varbergsvägen	Fjärås	27
Klövervägen	Fjärås	18
Hanhals Kyrkväg	Fjärås	16
Raskens väg	Fjärås	16
Kornvägen	Fjärås	14
Torkelstorpsvägen	Fjärås	14
Vallbyvägen	Fjärås	14
Torpa Kvarnväg	Fjärås	13
Gamla Gällingevägen	Fjärås	12
Gåsevadholmsvägen	Fjärås	12
Bronsvägen	Flarken	1
Åbysvägen	Flarken	1
Solbacksvägen	Flen	12
Drottninggatan	Flen	11
Kungsvägen	Flen	11
Storgatan	Flen	11
Bo Hammarskiölds väg	Flen	10
Bergsgatan	Flen	9
Januarivägen	Flen	9
Villåttingevägen	Flen	9
Brogatan	Flen	8
Hultvägen	Flen	8
Odengatan	Flisby	10
Ängarydsgatan	Flisby	6
Bastuvägen	Flisby	3
Givarpsgatan	Flisby	2
Månskensstigen	Flisby	2
Naskarpsgatan	Flisby	1
Syredavägen	Flisby	1
Toftavägen	Flisby	1
Tunnelgatan	Flisby	1
Ytterbyvägen	Fliseryd	12
Stora vägen	Fliseryd	10
Masugnsvägen	Fliseryd	8
Hantverkarvägen	Fliseryd	7
Stationsvägen	Fliseryd	7
Oskarshamnsvägen	Fliseryd	6
Patron Gustavs väg	Fliseryd	6
Örlidsvägen	Fliseryd	5
Mästarnas väg	Fliseryd	4
Troilius väg	Fliseryd	4
Sörbyvägen	Floby	10
Villagatan	Floby	9
Köpmansgatan	Floby	8
Parkgatan	Floby	8
Eklundagatan	Floby	7
Kapellgatan	Floby	6
Kellgrensgatan	Floby	6
Kungsgatan	Floby	6
Lövängsgatan	Floby	6
Trädgårdsgatan	Floby	6
Floda stationsväg	Floda	29
Högsboholmsvägen	Floda	23
Ryggebol byväg	Floda	23
Lensjövägen	Floda	17
Uddaredsvägen	Floda	17
Skallsjö prästväg	Floda	15
Björnåsvägen	Floda	14
Floda allé	Floda	14
Vällsjövägen	Floda	14
Von Proschwitz väg	Floda	13
Skatteberga stationsväg	Flyinge	10
Plantskolevägen	Flyinge	9
Blomstervägen	Flyinge	7
Löddeåvägen	Flyinge	6
Anna Brahes Väg	Flyinge	5
Tulpanvägen	Flyinge	5
Byasvängen	Flyinge	4
Gårdstångavägen	Flyinge	4
Holmbyvägen	Flyinge	4
Kampanjevägen	Flyinge	4
Ruduvägen	Fors	16
Bruksvägen	Fors	10
Västanhedevägen	Fors	10
Hagbovägen	Fors	9
Bäckaforsvägen	Fors	7
Basvägen	Fors	5
Garpenbergsvägen	Fors	5
Haggatan	Fors	4
Hagstigen	Fors	4
Halsjövägen	Fors	4
Vedavägen	Forsa	12
Frejavägen	Forsa	11
Hillensvägen	Forsa	11
Sörvikstavägen	Forsa	8
Bybergsvägen	Forsa	7
Bölevägen	Forsa	6
Lundvägen	Forsa	6
Strömvägen	Forsa	6
Backavägen	Forsa	5
Berglocksvägen	Forsa	5
Hedesundavägen	Forsbacka	32
Rörbergsvägen	Forsbacka	30
Stentorpsvägen	Forsbacka	21
Svartbergsvägen	Forsbacka	17
Byvägen	Forsbacka	16
Svartviksvägen	Forsbacka	14
Storsjövägen	Forsbacka	11
Valbovägen	Forsbacka	11
Persbacksvägen	Forsbacka	10
Stensängsvägen	Forsbacka	10
Kyrkogatan	Forserum	14
Fabriksgatan	Forserum	8
Torggatan	Forserum	7
Lillsjövägen	Forserum	6
Lorensbergsvägen	Forserum	6
Kvarngatan	Forserum	5
Nylundsvägen	Forserum	5
Cirkelgatan	Forserum	4
Snuggarpsvägen	Forserum	4
Storgatan	Forserum	4
Bråtvägen	Forshaga	11
Bruksgatan	Forshaga	10
Grossbolsgatan	Forshaga	10
Framgårdsvägen	Forshaga	8
Sandviksvägen	Forshaga	8
Grossbolstorpsvägen	Forshaga	7
Norrliden	Forshaga	7
Skivetorpsgatan	Forshaga	7
Skivstagatan	Forshaga	7
Visterudsvägen	Forshaga	7
Storgatan	Forsheda	15
Kyrkogatan	Forsheda	8
Berggatan	Forsheda	7
Parkvägen	Forsheda	7
Skolgatan	Forsheda	7
Björkvägen	Forsheda	6
Galvanovägen	Forsheda	5
Gärdesvägen	Forsheda	5
Hanahöjvägen	Forsheda	5
Långgatan	Forsheda	5
Baltzar von Platens väg	Forsvik	24
Billströmsvägen	Forsvik	9
Undenäsvägen	Forsvik	8
Göta kanalvägen	Forsvik	6
Bruksvägen	Forsvik	5
Karl smeds väg	Forsvik	4
Kolbodsvägen	Forsvik	4
Krokavägen	Forsvik	4
Hagenvägen	Forsvik	3
Herrgårdsvägen	Forsvik	3
Vallmovägen	Fotskäl	4
Vikullavägen	Fotskäl	4
Palmgrens väg	Fotskäl	3
Tostaredsvägen	Fotskäl	2
Hästhovsstigen	Fotskäl	1
Maskrosvägen	Fotskäl	1
Strätehedsvägen	Fotskäl	1
Tistelvägen	Fotskäl	1
Violvägen	Fotskäl	1
Styrsö tångenväg	Fotö	19
Husviksvägen	Fotö	17
Stora vägen	Fotö	16
Styrsö hamnväg	Fotö	16
Halsviksvägen	Fotö	13
Halsviksängen	Fotö	12
Korsviksvägen	Fotö	11
Dammkärrsvägen	Fotö	10
Vassdalsvägen	Fotö	10
Flogenvägen	Fotö	8
Holmselevägen	Fredrika	8
Åselevägen	Fredrika	8
Viskavägen	Fredrika	7
Strandvägen	Fredrika	6
Gamla Umevägen	Fredrika	5
Stormyrvägen	Fredrika	5
Umevägen	Fredrika	5
Parkvägen	Fredrika	4
Djupsjövägen	Fredrika	3
Vattuverksvägen	Fredrika	3
Cirkelvägen	Fredriksdal	11
Sjövägen	Fredriksdal	6
Herrgårdsvägen	Fredriksdal	5
Möbelvägen	Fredriksdal	4
Dammvägen	Fredriksdal	3
Hallhultsvägen	Fredriksdal	3
Samhällsvägen	Fredriksdal	3
Sjöafallsvägen	Fredriksdal	3
Bryggstigen	Fredriksdal	2
Byvägen	Fredriksdal	2
Göteborgsvägen	Frillesås	19
Vallersviksvägen	Frillesås	17
Fagerviks Strandväg	Frillesås	12
Norra Ringvägen	Frillesås	12
Rävsnäsvägen	Frillesås	11
Frillesåsvägen	Frillesås	10
Landbergavägen	Frillesås	10
Broåsvägen	Frillesås	9
Lillestocksvägen	Frillesås	9
Strandabjärsvägen	Frillesås	9
Docklidsvägen	Frinnaryd	13
Tingsvägen	Frinnaryd	11
Jönköpingsvägen	Frinnaryd	8
Stationsvägen	Frinnaryd	8
Väderkvarnsvägen	Frinnaryd	7
Ådalavägen	Frinnaryd	6
Gjuterivägen	Frinnaryd	5
Lindängsvägen	Frinnaryd	5
Månstorpsvägen	Frinnaryd	4
Oskars väg	Frinnaryd	4
Stora vägen	Fristad	15
Lönnvägen	Fristad	14
Björkvägen	Fristad	11
Hedevägen	Fristad	9
Kullasandsvägen	Fristad	9
Asklandavägen	Fristad	8
Tärnavägen	Fristad	7
Skolvägen	Fristad	6
Tallvägen	Fristad	6
Öresjövägen	Fristad	6
Danska vägen	Fritsla	15
Förläggarevägen	Fritsla	13
Hägnevägen	Fritsla	11
Bäckabovägen	Fritsla	10
Getakärrsvägen	Fritsla	9
Kungabergsvägen	Fritsla	9
Smeatorpsvägen	Fritsla	9
Annehultsvägen	Fritsla	8
Kronogärdesvägen	Fritsla	8
Solhagavägen	Fritsla	8
Skogsrydsvägen	Frufällan	19
Barnhemsgatan	Frufällan	17
Vattenverksgatan	Frufällan	16
Fristadsvägen	Frufällan	13
Öresjögatan	Frufällan	12
Lakhallsvägen	Frufällan	11
Norra Sjöbogatan	Frufällan	10
Tosserydsvägen	Frufällan	10
Almenäsvägen	Frufällan	9
Knektåsvägen	Frufällan	8
Aspelundsvägen	Frändefors	11
Östra gatan	Frändefors	7
Ringaregatan	Frändefors	6
Riksvägen	Frändefors	4
Mossgatan	Frändefors	3
Ringaregränd	Frändefors	3
Ödsmålavägen	Frändefors	3
Klockaregatan	Frändefors	2
Muraregatan	Frändefors	2
Målaregatan	Frändefors	2
Centralvägen	Fränsta	10
Fränstavägen	Fränsta	9
Borrbodsvägen	Fränsta	6
Mårtensvägen	Fränsta	6
Östra Gränsgatan	Fränsta	6
Badhusvägen	Fränsta	5
Brandgatan	Fränsta	5
Industrigatan	Fränsta	5
Koldalsvägen	Fränsta	5
Tunforsgatan	Fränsta	5
Södra Industrivägen	Fröseke	2
Peterson-Bergers väg	Frösön	21
Stockevägen	Frösön	18
Vallsundsvägen	Frösön	15
Snorres Väg	Frösön	14
Önevägen	Frösön	13
Härkevägen	Frösön	11
Sommarslingan	Frösön	11
Rödövägen	Frösön	10
Cronstads väg	Frösön	9
Mjällevägen	Frösön	9
Norra Bangatan	Frövi	12
Folkparksgatan	Frövi	11
Handsmedsgatan	Frövi	11
Hedvägen	Frövi	10
Stenstavägen	Frövi	10
Ekenäsvägen	Frövi	9
Järnvägsgatan	Frövi	8
Bergslagsvägen	Frövi	7
Hättängsvägen	Frövi	7
Centralvägen	Frövi	6
Vallarvägen	Funäsdalen	25
Kåvanvägen	Funäsdalen	21
Rörosvägen	Funäsdalen	17
Strandvägen	Funäsdalen	12
Åkervägen	Funäsdalen	12
Renslingan	Funäsdalen	11
Vintergatan	Funäsdalen	11
Åsargatan	Funäsdalen	8
Tullvägen	Funäsdalen	7
Funäsdalsporten	Funäsdalen	6
Kårevägen	Furuby	7
Häradsvägen	Furuby	3
Björkvägen	Furuby	2
Byvägen	Furuby	2
Fägrevägen	Furuby	2
Idrottsvägen	Furuby	2
Furuvägen	Furuby	1
Getingevägen	Furuby	1
Lackalänga Bygata	Furulund	14
Lundagatan	Furulund	13
Nyhemsvägen	Furulund	13
Åkarpsvägen	Furulund	13
Vikengatan	Furulund	11
Kronovägen	Furulund	9
Fjelie Tångaväg	Furulund	8
Lavendelgatan	Furulund	8
Nummertrevägen	Furulund	8
Fjelie Byaväg	Furulund	7
Harkskärsvägen	Furuvik	36
Utvalnäsvägen	Furuvik	35
Östnäsvägen	Furuvik	30
Utskärsvägen	Furuvik	28
Bönavägen	Furuvik	22
Gamla Furuviksvägen	Furuvik	20
Gråbergsvägen	Furuvik	19
Kubbovägen	Furuvik	18
Mårtsbovägen	Furuvik	18
Rännavägen	Furuvik	18
Myrhedenvägen	Fällfors	5
Fällforsvägen	Fällfors	4
Fallgatan	Fällfors	2
Hälleströmsvägen	Fällfors	2
Hästskovägen	Fällfors	2
Lindenvägen	Fällfors	1
Postgatan	Fällfors	1
Tallåsgatan	Fällfors	1
Stavsborgs fabriksväg	Färentuna	16
Lötenvägen	Färentuna	13
Tingsstadsvägen	Färentuna	10
Bonaviksvägen	Färentuna	8
Fållvägen	Färentuna	8
Apelvägen	Färentuna	7
Stavsborgsvägen	Färentuna	7
Säbyviksvägen	Färentuna	7
Klevbergsvägen	Färentuna	6
Slutvägen	Färentuna	6
Håvestensvägen	Färgelanda	14
Kyrkvägen	Färgelanda	12
Allhemsvägen	Färgelanda	10
Ferlins väg	Färgelanda	9
Håbynvägen	Färgelanda	8
Höjdenvägen	Färgelanda	8
Centrumvägen	Färgelanda	7
Hedekasvägen	Färgelanda	7
Sågverksvägen	Färgelanda	6
Thorsons väg	Färgelanda	6
Ygsbovägen	Färila	26
Brinasenvägen	Färila	22
Kilbovägen	Färila	21
Härjedalsvägen	Färila	15
Svartvallsvägen	Färila	15
Södra Ytterygsvägen	Färila	15
Hammarnvägen	Färila	11
Skrytvägen	Färila	10
Sorrovägen	Färila	10
Harmyrvägen	Färila	9
Karlevi Bygata	Färjestaden	22
Möllstorpsgatan	Färjestaden	20
Storgatan	Färjestaden	20
Törnbottenvägen	Färjestaden	18
Joels väg	Färjestaden	16
Järnvägsgatan	Färjestaden	16
Hantverkargatan	Färjestaden	12
Runsbäcksvägen	Färjestaden	12
Björnhovdagatan	Färjestaden	11
Äppelvägen	Färjestaden	11
Araslövsvägen	Färlöv	11
Hamiltons väg	Färlöv	10
Starvägen	Färlöv	9
Vaktelvägen	Färlöv	9
Henningsbergsvägen	Färlöv	8
Isgrannatorpsvägen	Färlöv	8
Skiftesvägen	Färlöv	8
Torsebro byväg	Färlöv	8
Fru Marines väg	Färlöv	7
Hästhagsvägen	Färlöv	6
Färnäs bygata	Färnäs	38
Gamla Kyrkvägen	Färnäs	9
Rödmyrvägen	Färnäs	9
Hindrikesvägen	Färnäs	8
Byåkersvägen	Färnäs	7
Ulf Sparres gata	Färnäs	7
Butusvägen	Färnäs	6
Fäbodvägen	Färnäs	6
Knåsgatan	Färnäs	6
Pellasgatan	Färnäs	6
Klobovägen	Fågelfors	13
Movägen	Fågelfors	9
Nygatan	Fågelfors	9
Kyrkogatan	Fågelfors	8
Parkvägen	Fågelfors	8
Klevestigen	Fågelfors	6
Hyltastigen	Fågelfors	5
Bruksgatan	Fågelfors	4
Åforsvägen	Fågelfors	4
Byvägen	Fågelfors	3
Övre Tångsvägen	Fågelmara	19
Gamla landsvägen	Fågelmara	15
Möllehall	Fågelmara	11
Tombäcksvägen	Fågelmara	11
Horsarydsvägen	Fågelmara	10
Flyebodavägen	Fågelmara	8
Riksvägen	Fågelmara	8
Råsenvägen	Fågelmara	8
Törnåkravägen	Fågelmara	7
Flyerydsvägen	Fågelmara	6
Olle-Jänsvägen	Fåker	14
Kvarnvägen	Fåker	3
Sundwis Väg	Fåker	2
Grönviksvägen	Fåker	1
Gåluvägen	Fåker	1
Ficksjövägen	Fårbo	10
Hagadalsvägen	Fårbo	7
Koviksnäsvägen	Fårbo	7
Mistravägen	Fårbo	7
Källehorvavägen	Fårbo	6
Bjurstams backe	Fårbo	5
Brinkvägen	Fårbo	4
Hultgårdsvägen	Fårbo	4
Jakobstorpsvägen	Fårbo	4
Kappemålavägen	Fårbo	4
Västra vägen	Fårösund	11
Kustparksvägen	Fårösund	10
Stuxvägen	Fårösund	10
Kalkugnsvägen	Fårösund	9
Fårövägen	Fårösund	8
Kronhagsvägen	Fårösund	7
Haltarvevägen	Fårösund	6
Artillerivägen	Fårösund	5
Biskopsvägen	Fårösund	5
Bunge Sandviksvägen	Fårösund	5
Storgatan	Föllinge	11
Kyrkvägen	Föllinge	8
Långgatan	Föllinge	7
Lägdenvägen	Föllinge	6
Axelåsvägen	Föllinge	4
Backvägen	Föllinge	4
Spelmansvägen	Föllinge	4
Benstevägen	Föllinge	3
Bjäkerstigen	Föllinge	3
Brunkullavägen	Föllinge	3
Sandbäcksvägen	Förslöv	19
Långagärdsvägen	Förslöv	17
Prästgårdsvägen	Förslöv	15
Bjäredalsvägen	Förslöv	13
Bäckvägen	Förslöv	13
Rörvångsvägen	Förslöv	12
Stenhotten	Förslöv	11
Margretetorpsvägen	Förslöv	10
Vantingevägen	Förslöv	10
Lugnetvägen	Förslöv	9
Bygattu	Gagnef	27
Rännarhedsvägen	Gagnef	20
Täktholvägen	Gagnef	20
Hellsinggårdsvägen	Gagnef	17
Långgattu	Gagnef	17
Holtäppsvägen	Gagnef	12
Myrvägen	Gagnef	11
Sjövägen	Gagnef	11
Ernst Hedlunds väg	Gagnef	10
Kyrkbyvägen	Gagnef	9
Björnsholmsvägen	Gamleby	14
Hagagatan	Gamleby	13
Hallingebergsvägen	Gamleby	13
Loftagatan	Gamleby	10
Härstadsvägen	Gamleby	9
Stångelandsgatan	Gamleby	8
Åbyvägen	Gamleby	8
Hammarsvägen	Gamleby	7
Ekvägen	Gamleby	6
Framnäsgatan	Gamleby	6
Storhedsvägen	Gammelstad	45
Alviksvägen	Gammelstad	44
Storsandsvägen	Gammelstad	39
Lulevägen	Gammelstad	25
Norra Timmervägen	Gammelstad	24
Rutviks byaväg	Gammelstad	23
Sörbyvägen	Gammelstad	20
Älvsbyvägen	Gammelstad	20
Bälinge byaväg	Gammelstad	19
Haparandavägen	Gammelstad	19
Byvägen	Gargnäs	26
Skolvägen	Gargnäs	4
Flatåkervägen	Gargnäs	3
Hårchvägen	Gargnäs	3
Kyrkvägen	Gargnäs	2
Rävnabbvägen	Gargnäs	2
Sågvägen	Gargnäs	2
Hembergsvägen	Gargnäs	1
Svältsnöret	Gargnäs	1
Åsvägen	Gargnäs	1
Finnhyttevägen	Garpenberg	10
Garpvägen	Garpenberg	9
Silvervägen	Garpenberg	8
Brygghusvägen	Garpenberg	7
Kopparvägen	Garpenberg	7
Herrgårdsvägen	Garpenberg	6
Gruvvägen	Garpenberg	5
Norrlandsvägen	Garpenberg	5
Dormsjövägen	Garpenberg	4
Erikslundsvägen	Garpenberg	4
Garpvägen	Garphyttan	15
Tysslingevägen	Garphyttan	13
Kvarnvägen	Garphyttan	11
Lannaforsvägen	Garphyttan	9
Slätåsvägen	Garphyttan	8
Bruksvägen	Garphyttan	6
Dragarvägen	Garphyttan	6
Höckerkullavägen	Garphyttan	6
Lekbäcksvägen	Garphyttan	5
Vargdalsvägen	Garphyttan	5
Skäjsnäsvägen	Garsås	16
Garsås bygata	Garsås	15
Skogsängsvägen	Garsås	11
Sjövägen	Garsås	8
Utsiktsvägen	Garsås	7
Lindvägen	Garsås	5
Riksvägen	Garsås	5
Stumsnäs Bjönsbovägen	Garsås	4
Kolugnsvägen	Garsås	3
Djurkällsvägen	Garsås	2
Skärvavägen	Gemla	11
Kvarnvägen	Gemla	6
Säterivägen	Gemla	6
Södra vägen	Gemla	6
Växjövägen	Gemla	6
Klövervägen	Gemla	4
Norrvägen	Gemla	4
Svarta vägen	Gemla	4
Ängsvägen	Gemla	4
Askevägen	Gemla	3
Sandvägen	Genarp	17
Ljungbacksvägen	Genarp	13
Ledholmsvägen	Genarp	11
Östra Ellebäcksvägen	Genarp	10
Blüchers stig	Genarp	7
Gödelövsvägen	Genarp	7
Kyrkovägen	Genarp	7
Värdshusvägen	Genarp	7
Lars Kristoffers väg	Genarp	6
Risavägen	Genarp	6
Öringevägen	Genevad	12
Eriksbergsgatan	Genevad	11
Halmstadsvägen	Genevad	9
Lertäktsvägen	Genevad	8
Salomonsvägen	Genevad	8
Skolgatan	Genevad	6
Fredriksbergsvägen	Genevad	5
Bruksgatan	Genevad	4
Verkstadsgatan	Genevad	4
Bollvägen	Genevad	3
Östra Järnvägsgatan	Getinge	15
Göteborgsvägen	Getinge	8
Stenstorpsvägen	Getinge	8
Rackarebergsvägen	Getinge	7
Skattagårdsvägen	Getinge	7
Västra Järnvägsgatan	Getinge	5
Bergsgatan	Getinge	4
Boråsvägen	Getinge	4
Eskilstorpsgatan	Getinge	4
Gärdesvägen	Getinge	4
Bergforsvägen	Gideå	4
Bolagsbacken	Gideå	3
Prostvägen	Gideå	3
Snickerivägen	Gideå	3
Kyrkväktarvägen	Gideå	2
Rubanksvägen	Gideå	2
Hundsjövägen	Gideå	1
Sjöbacksvägen	Gideå	1
Skollärarvägen	Gideå	1
Idrottsvägen	Gimo	16
Björkvägen	Gimo	15
Bruksgatan	Gimo	11
Köpmangatan	Gimo	10
Långgatan	Gimo	10
Solängsgatan	Gimo	9
Älgvägen	Gimo	9
Uppsalavägen	Gimo	8
Coromantvägen	Gimo	7
Kyrkvägen	Gimo	6
Södra Storgatan	Gislaved	30
Danska vägen	Gislaved	28
Södergatan	Gislaved	21
Anderstorpsvägen	Gislaved	17
Odengatan	Gislaved	15
Åbjörnsgatan	Gislaved	15
Holmengatan	Gislaved	14
Reftelevägen	Gislaved	14
Gislegatan	Gislaved	13
Radhusvägen	Gislaved	12
Drevevägen	Glanshammar	17
Opphammarvägen	Glanshammar	10
Gamla Arbogavägen	Glanshammar	7
Kemivägen	Glanshammar	7
Furnäsvägen	Glanshammar	6
Gamla Hjälmarvägen	Glanshammar	6
Asphagsvägen	Glanshammar	5
Kärleksstigen	Glanshammar	5
Lakevägen	Glanshammar	5
Perstorpsvägen	Glanshammar	5
Björkåsvägen	Glava	3
Industrivägen	Glava	1
Knollstigen	Glava	1
Lövåsen	Glava	1
Yrevallsvägen	Glava	1
Rännegatan	Glemmingbro	13
Hobjersvägen	Glemmingbro	12
Östanvägen	Glemmingbro	11
Östra Kustvägen	Glemmingbro	9
Backavägen	Glemmingbro	8
Handlarevägen	Glemmingbro	7
Västanvägen	Glemmingbro	7
Tuvegatan	Glemmingbro	6
Vallshögsvägen	Glemmingbro	6
Österlenvägen	Glemmingbro	6
Ingelstorps mossaväg	Glemmingebro	12
Tuvebäcksvägen	Glemmingebro	9
Kullhögsvägen	Glemmingebro	6
Glemminge stenarvägen	Glemmingebro	5
Hedvigsdahls gårds väg	Glemmingebro	5
Henriksfältsvägen	Glemmingebro	5
Österlenvägen	Glemmingebro	5
Hans Ols väg	Glemmingebro	4
Redskapsvägen	Glemmingebro	4
Slättåkersvägen	Glemmingebro	4
Hittarpsvägen	Glimåkra	9
Kilingevägen	Glimåkra	6
Boaltsvägen	Glimåkra	5
Egnahemsgatan	Glimåkra	5
Gamla Sibbhultsvägen	Glimåkra	5
Grottevägen	Glimåkra	5
Hemlingevägen	Glimåkra	4
Marknadsvägen	Glimåkra	4
Västra Järnvägsgatan	Glimåkra	4
Evas väg	Glimåkra	3
Digesgårdsringen	Glommen	18
Glumstensvägen	Glommen	13
Parallellvägen	Glommen	12
Fyrklövervägen	Glommen	11
Centralvägen	Glommen	9
Gustavs väg	Glommen	8
Havsvägen	Glommen	8
Lönestigsvägen	Glommen	8
Bengt Augusta väg	Glommen	7
Gunnars väg	Glommen	7
Hällstorpsvägen	Glumslöv	11
Ålabodsvägen	Glumslöv	11
Troeds väg	Glumslöv	9
Hövdingaleden	Glumslöv	7
Johan Pers väg	Glumslöv	7
Sundviksvägen	Glumslöv	7
Vipevägen	Glumslöv	7
Hägnalövsvägen	Glumslöv	6
Glumslövsvägen	Glumslöv	5
Ålabodstranden	Glumslöv	5
Stationsvägen	Gnarp	16
Kyrkvägen	Gnarp	12
Bergevägen	Gnarp	8
Gammelgårdsvägen	Gnarp	5
Gingstavägen	Gnarp	4
Harvens väg	Gnarp	4
Piravägen	Gnarp	4
Södra vägen	Gnarp	4
Rödevägen	Gnarp	3
Armévägen	Gnarp	2
Västra Storgatan	Gnesta	22
Östra Storgatan	Gnesta	20
Dansutvägen	Gnesta	11
Mosebacke	Gnesta	11
Vackerby industriväg	Gnesta	11
Vikingavägen	Gnesta	11
Långsjövägen	Gnesta	10
Skillingagatan	Gnesta	10
Harry Martinsons väg	Gnesta	9
Hundbyvägen	Gnesta	9
Järnvägsgatan	Gnosjö	17
Fritidsvägen	Gnosjö	11
Anderstorpsvägen	Gnosjö	10
Bygatan	Gnosjö	10
Långgatan	Gnosjö	8
Södra vägen	Gnosjö	8
Läroverksgatan	Gnosjö	7
Marieströmsvägen	Gnosjö	7
Sjörydsvägen	Gnosjö	7
Södergatan	Gnosjö	7
Blå vägen	Granö	12
Långmyrvägen	Granö	7
Nabbvägen	Granö	5
Västra Tegsnäset	Granö	4
Campingvägen	Granö	3
Hagarana	Granö	3
Skolvägen	Granö	2
Blåkullevägen	Granö	1
Gamla Byavägen	Granö	1
Karlavägen	Granö	1
Sövallsvägen	Grebbestad	16
Nedre långgatan	Grebbestad	13
Gata	Grebbestad	11
Mor Klaras väg	Grebbestad	10
Kolmyrsvägen	Grebbestad	9
Rörviksvägen	Grebbestad	9
Stenvägen	Grebbestad	8
Grönemadsvägen	Grebbestad	7
Killebäcksvägen	Grebbestad	7
Klangs väg	Grebbestad	7
Klövervägen	Grevie	11
Norra Hovallsvägen	Grevie	10
Vilhelmsfältsvägen	Grevie	10
Böskedalsvägen	Grevie	9
Havstensvägen	Grevie	9
Karlslundsvägen	Grevie	7
